index,version,additional0,total0,additional,total,max,max_normal
0.0,1.0,51.687187,88.166895,58.572731,87.984496,0.0,0.0
1.0,2.0,91.465084,69.329073,86.535828,57.507987,0.0,0.0
2.0,3.0,46.433471,75.697302,57.91038,86.808413,0.0,0.0
3.0,4.0,59.314114,91.265802,62.426468,91.320038,0.0,0.0
4.0,5.0,80.044291,35.605315,79.010827,34.030512,0.0,0.0
5.0,6.0,49.549311,46.553552,62.539767,63.467656,0.0,0.0
6.0,7.0,37.113687,62.720751,39.266004,57.312362,0.0,0.0
7.0,8.0,15.811258,22.488962,16.804636,21.274834,0.0,0.0
8.0,9.0,56.318985,85.62362,52.621413,79.056291,0.0,0.0
9.0,10.0,68.763858,6.568736,67.821508,6.236142,0.0,0.0
10.0,11.0,3.967814,4.411765,4.245283,4.356271,0.0,0.0
11.0,12.0,74.555061,85.845384,72.775306,79.894327,0.0,0.0
12.0,13.0,86.173184,87.625698,85.27933,82.094972,0.0,0.0
0.0,1.0,58.712477,63.20122,61.102251,64.732645,0.0,0.0
1.0,2.0,68.426755,73.664626,65.704192,69.566651,0.0,0.0
2.0,3.0,81.441891,77.844227,82.185911,77.768883,0.0,0.0
3.0,4.0,76.804561,82.543347,77.709197,82.175839,0.0,0.0
4.0,5.0,64.857225,69.926217,99.832311,71.114412,0.0,0.0
5.0,6.0,75.741441,81.658041,77.368631,81.991441,0.0,0.0
6.0,7.0,67.901235,45.742199,42.913386,44.279187,0.0,0.0
7.0,8.0,99.119515,56.336605,98.44592,56.721517,0.0,0.0
8.0,9.0,33.099457,33.40674,32.966301,33.130185,0.0,0.0
9.0,10.0,97.935912,56.962086,99.918206,60.763087,0.0,0.0
10.0,11.0,77.55102,83.312476,78.903543,83.389488,0.0,0.0
11.0,12.0,99.946772,78.733185,99.937095,78.007355,0.0,0.0
12.0,14.0,52.775956,55.130367,50.911788,52.797814,0.0,0.0
13.0,15.0,98.257009,74.686916,99.85514,74.406542,0.0,0.0
14.0,16.0,76.462617,81.009346,79.303738,83.0,0.0,0.0
15.0,17.0,87.082437,91.835875,90.357444,94.334238,0.0,0.0
16.0,18.0,71.666508,75.927683,72.72943,76.079529,0.0,0.0
